"","Age","Sex","Income","Culture","Theatre","Theatre_ly"
"100",63,1,82.7,230,205,110
"101",64,0,70.5,253,90,160
"102",62,0,68.3,278,305,170
"103",60,1,72.3,221,129,140
"104",60,0,75,233,53,140
"105",55,1,69,254,97,160
"106",42,0,67,164,110,140
"107",26,0,59,182,90,120
"108",56,0,79,395,142,140
"109",28,1,71.7,205,113,120
"110",25,1,70.3,215,235,180
"111",30,1,73.7,192,135,110
"112",30,1,64,187,88,150
"113",62,0,61,247,96,150
"114",49,1,67,160,105,170
"115",26,0,68.1,225,65,125
"116",64,0,50.9,163,222,180
"117",43,1,60.3,303,108,130
"118",53,0,63.7,202,71,150
"119",30,1,65,182,81,130
"120",24,0,36,147,70,110
"121",59,0,89.9,240,179,180
"122",21,0,61.1,240,159,120
"123",25,0,60.6,190,135,110
"124",55,1,63.2,181,69,110
"125",57,0,74,196,115,160
"126",22,1,64,201,111,120
"127",46,1,71.7,226,81,130
"128",59,0,70,211,76,180
"129",28,1,58,173,111,110
"130",38,0,54.3,209,131,120
"131",26,0,57,182,87,110
"132",50,0,65.4,240,131,120
"133",64,1,83.9,248,301,130
"134",55,1,75.8,266,328,160
"135",25,0,51,150,64,130
"136",35,1,70,307,189,130
"137",42,1,79,250,235,150
"138",48,1,104,242,230,150
"139",63,0,75,264,218,110
"140",37,0,64,255,176,150
"141",51,1,78,226,153,110
"142",38,0,68,170,91,135
"143",39,1,82.5,116,128,125
"144",45,1,68.7,201,112,125
"145",20,1,95.5,208,155,120
"146",64,1,84,147,100,165
"147",64,1,81.7,207,111,135
"148",54,0,68,229,111,140
"149",31,0,86,212,152,120
"150",26,0,52,227,133,105
"151",18,1,66.7,206,90,120
"152",18,1,82,158,52,120
"153",35,1,76,211,99,140
"154",63,1,63.5,238,182,140
"155",60,0,70.1,222,196,130
"156",38,1,66,245,228,120
"157",29,0,64,235,67,120
"158",44,0,57,461,240,105
"159",22,1,67.2,187,122,110
"160",37,1,89.3,275,155,135
"161",63,0,64,305,106,150
"162",52,0,68,227,84,180
"163",37,1,62,224,113,130
"164",42,1,69.7,272,94,120
"165",31,0,59.3,196,72,150
"166",23,0,81,198,86,140
"167",49,0,82,277,165,140
"168",24,1,70,197,71,110
"169",58,0,68.4,187,97,130
"170",27,1,70.9,166,84,140
"171",61,1,57.1,236,95,120
"172",62,0,100,284,130,150
"173",54,0,74.1,175,90,120
"174",50,1,60,208,141,160
"175",64,0,68.2,202,94,170
"176",52,1,75.3,272,154,150
"177",53,0,64.7,266,106,130
"178",62,0,54.5,176,75,120
"179",36,1,79,207,170,130
"180",50,0,91.1,248,263,170
"181",46,1,103.6,194,124,140
"182",23,0,70,147,140,140
"183",44,0,74,215,75,120
"184",64,0,62,255,395,140
"185",64,0,64,204,129,150
"186",52,1,82.5,213,150,135
"187",44,0,64.8,267,111,110
"188",43,0,48.1,239,122,100
"189",63,0,72,237,141,200
"190",44,0,72.1,159,48,140
"191",61,0,65,292,186,140
"192",60,1,100,224,223,145
"193",26,0,60.3,202,96,135
"194",59,1,61,288,190,140
"195",61,1,80,199,190,175
"196",41,1,75.7,170,59,140
"197",50,1,92.4,209,262,120
"198",36,1,74,146,130,130
"199",53,1,76,182,91,140
"200",42,0,80.7,165,126,170
"201",24,1,56,181,112,120
"202",60,0,92.7,248,194,160
"203",51,0,87.5,220,121,130
"204",50,1,74,194,78,135
"205",55,1,72,250,279,155
"206",45,1,69.7,200,111,125
"207",20,0,58.3,153,86,120
"208",44,0,111,195,232,170
"209",49,0,80.6,244,169,150
"210",49,1,76,195,129,120
"211",37,0,61.8,282,92,110
"212",39,0,75,443,223,150
"213",44,1,75.4,290,107,120
"214",54,1,86.5,193,109,130
"215",64,0,76.4,243,122,150
"216",39,1,65.5,214,104,140
"217",54,1,63.5,226,125,130
"218",35,1,66,215,125,135
"219",56,1,71.5,373,256,120
"220",47,1,77.4,249,456,160
"221",49,1,85.1,309,249,110
"222",57,1,74.9,229,125,130
"223",23,1,65.4,183,104,120
"224",27,1,90.2,269,292,130
"225",28,1,80.7,169,154,130
"226",50,1,92.5,287,367,120
"227",31,1,96.3,229,231,155
"228",30,1,67.3,208,63,100
"229",49,0,70.3,194,89,120
"230",24,0,90,185,100,120
"231",19,1,70.6,97,100,110
"232",45,1,72,232,121,120
"233",52,1,69,222,46,135
"234",20,1,65.3,188,237,130
"235",55,1,85,266,193,125
"236",64,0,63,240,224,170
"237",42,0,70,259,118,160
"238",44,0,57.9,218,92,120
"239",53,0,66.7,279,126,130
"240",61,1,74.3,237,186,120
"241",32,1,75,174,106,130
"242",43,0,51.2,180,69,130
"243",49,0,93,304,273,160
"244",21,1,73,204,94,120
"245",56,0,81.9,303,252,115
"246",28,0,50.6,267,37,95
"247",22,0,105,228,144,185
"248",48,0,63.5,218,131,150
"249",46,0,65,286,92,120
"250",63,1,64,188,176,130
"251",51,1,103.7,222,171,140
"252",27,0,54.8,153,62,100
"253",23,1,63.7,191,132,120
"254",30,0,61.3,191,109,180
"255",19,0,50,141,49,120
"256",50,0,72,194,51,135
"257",46,1,81,215,137,105
"258",29,0,85,238,110,120
"259",47,1,72,259,187,140
"260",35,1,60,147,67,130
"261",56,1,77.6,236,137,110
"262",31,0,79.5,199,109,180
"263",21,0,70,219,153,140
"264",63,0,60.3,269,118,160
"265",51,1,68,209,242,115
"266",24,1,61,182,170,140
"267",26,1,57,173,137,130
"268",50,0,75.5,237,211,110
"269",57,0,86,188,285,165
"270",35,1,102,218,231,160
"271",60,0,47,246,167,160
"272",29,0,68,214,127,150
"273",52,0,67,256,150,170
"274",25,1,70,171,97,135
"275",37,1,71,238,132,135
"276",42,1,71,371,300,140
"277",47,0,76.7,176,203,150
"278",46,0,65,223,92,120
"279",23,0,75,220,62,140
"280",35,0,65,179,223,160
"281",46,1,94.6,266,208,180
"282",56,0,74,198,80,145
"283",28,1,66,187,132,135
"284",27,0,65,165,50,110
"285",44,0,56.7,209,135,120
"286",24,1,59.3,205,148,130
"287",27,0,54.8,213,63,130
"288",19,0,62,154,67,110
"289",59,0,68,196,209,150
"290",64,1,66,340,235,180
"291",21,0,61.9,171,57,120
"292",38,0,66.3,227,120,130
"293",36,0,85,185,153,180
"294",30,1,72,262,267,120
"295",35,0,70,257,96,115
"296",33,0,54,233,30,120
"297",31,0,78,246,77,120
"298",55,1,74.6,223,63,120
"299",48,0,85,265,81,170
"300",60,1,95.5,139,226,120
"301",51,1,90,184,222,160
"302",26,1,65.9,250,212,130
"303",23,1,74,214,103,130
"304",53,1,78.4,218,260,160
"305",35,1,62,205,72,125
"306",38,0,63,303,116,150
"307",29,1,85.7,210,125,130
"308",49,0,64.5,278,72,145
"309",53,0,65.3,266,166,140
"310",25,1,66,147,72,120
"311",24,0,63.5,185,67,120
"312",31,1,76.9,322,241,130
"313",27,1,61,196,175,120
"314",33,1,66.9,234,171,130
"315",39,1,74,237,111,180
"316",29,0,63,252,434,125
"317",38,0,75,225,123,180
"318",25,0,56,181,62,120
"319",48,1,120,215,325,175
"320",36,0,79.8,199,95,125
"321",22,1,70,208,85,130
"322",27,1,69.1,164,103,190
"323",51,1,80,261,143,130
"324",24,1,91,171,98,150
"325",52,1,64.4,264,72,105
"326",36,0,62,199,100,115
"327",64,1,80.6,321,164,140
"328",30,1,65.3,172,63,140
"329",43,0,67.7,224,56,120
"330",20,0,47.5,152,33,120
"331",46,1,64.5,280,402,120
"332",44,1,78.3,303,292,120
"333",47,0,64,228,62,120
"334",37,1,66,223,297,140
"335",60,1,75,312,215,150
"336",54,1,70.3,136,61,215
"337",47,0,72,238,49,180
"338",49,0,68,274,204,170
"339",46,0,63,213,97,170
"340",22,1,91.5,194,115,140
"341",63,0,69.7,252,152,170
"342",58,1,82.2,256,236,130
"343",33,0,59,220,108,140
"344",27,1,60,167,124,160
"345",21,0,64.1,173,91,120
"346",47,0,72.6,151,80,130
"347",31,1,74,231,216,130
"348",49,1,75.3,204,82,125
"349",35,0,56.5,238,178,110
"350",53,0,66,169,60,140
"351",23,0,52,172,147,125
"352",36,0,65,235,59,130
"353",33,0,70,92,80,120
"354",38,0,55,198,100,130
"355",19,0,65,248,104,140
"356",56,0,89,259,253,160
"357",52,1,77,167,86,200
"358",28,1,63.5,165,63,90
"359",61,1,69,199,71,110
"360",55,0,57,288,130,150
"361",19,1,63,163,97,145
"362",19,0,65,228,69,120
"363",36,0,47,241,97,105
"364",27,1,62.9,130,137,110
"365",52,1,72.6,227,166,150
"366",22,0,52.2,262,69,110
"367",28,1,80.7,180,184,135
"368",41,0,63,285,81,135
"369",49,1,122.4,202,463,150
"370",46,1,100,201,102,170
"371",51,1,80,215,269,130
"372",58,1,73,220,203,145
"373",53,1,78.5,183,135,160
"374",48,1,71,222,189,140
"375",21,0,62,210,131,110
"376",19,1,94.1,156,71,140
"377",60,0,67.7,236,106,180
"378",57,1,75.3,218,210,180
"379",60,0,63,342,169,120
"380",45,1,105,275,143,155
"381",29,1,68,247,152,130
"382",26,1,68,191,75,120
"383",32,0,73,249,164,120
"384",28,0,55,192,46,130
"385",28,1,68,202,138,140
"386",42,0,62,209,106,140
"387",26,1,63,192,84,130
"388",30,1,84.5,256,350,150
"389",28,1,80.2,220,234,140
"390",35,1,65,203,135,120
"391",46,1,75,225,130,130
"392",27,0,60,238,176,110
"393",48,0,56,241,95,120
"394",29,0,50,168,103,120
"395",48,1,82,357,149,175
"396",53,1,45.3,135,115,100
"397",49,0,84.4,306,237,150
"398",29,0,53,213,72,130
"399",61,1,70,292,100,140
"400",22,1,90.7,197,106,150
"401",26,1,63,198,74,140
"402",24,0,60.7,199,79,140
"403",60,1,76.5,208,167,130
"404",19,0,57.3,277,78,125
"405",33,0,67.5,185,104,150
"406",27,1,60,167,124,160
"407",21,0,64.1,173,91,130
"408",47,0,77.6,151,80,130
"409",31,1,74,231,216,130
"410",21,1,65.3,158,77,130
"411",41,1,92,223,127,160
"412",40,0,62,267,76,160
"413",60,1,75,312,215,150
"414",33,0,59,220,108,140
"415",35,0,96.4,242,339,125
"416",20,1,92.7,110,68,110
"417",43,1,85,184,141,150
"418",49,1,76.5,263,96,140
"419",25,0,65.1,224,86,130
"420",19,0,56,161,109,110
"421",25,1,66.3,187,58,160
"422",29,1,69.1,173,62,150
"423",24,1,68,233,94,140
"424",37,0,60.3,211,197,150
"425",26,0,84,202,396,120
"426",58,1,75.3,189,135,140
"427",52,0,66.7,207,120,170
"428",30,1,66,187,166,110
"429",20,0,61,217,44,100
"430",21,1,65,147,76,120
"431",38,0,68.1,228,129,170
"432",32,0,61,179,62,120
"433",31,1,82,240,232,165
"434",29,0,75,170,71,145
"435",58,1,70,292,293,140
"436",63,0,60,249,248,175
"437",30,0,61.7,189,76,140
"438",51,0,80,247,91,140
"439",35,1,78,187,65,160
"440",19,1,65,126,221,120
"441",31,1,67,149,120,150
"442",63,0,66,148,155,160
"443",24,0,72,170,50,125
"444",23,0,62.5,169,87,120
"445",63,0,73,176,253,130
"446",47,0,80,271,199,155
"447",41,0,75,298,273,120
"448",25,1,79.5,227,129,150
"449",23,0,66.3,228,82,110
"450",35,0,68.2,280,162,110
"451",49,1,90,264,212,175
"452",26,1,70.9,196,90,170
"453",29,0,55,217,68,120
"454",25,0,48,197,77,130
"455",27,1,66.9,187,82,140
"456",39,0,80,217,170,160
"457",19,1,50.6,129,68,120
"458",57,0,70.7,166,87,160
"459",24,1,76.9,268,119,130
"460",49,0,76,259,73,160
"461",22,0,54,191,113,120
"462",35,1,78,219,101,145
"463",58,1,88,219,285,155
"464",25,0,54,214,36,140
"465",21,1,68.7,143,50,140
"466",34,1,92.3,312,445,170
"467",63,1,60,174,84,120
"468",63,1,77,192,280,140
"469",61,1,71,213,66,140
"470",37,0,51,218,85,100
"471",25,0,48,235,60,125
"472",28,1,67,229,148,100
"473",28,1,60,186,73,110
"474",27,1,80,249,46,150
"475",53,1,79.9,246,94,170
"476",37,1,77,249,136,130
"477",19,1,63,186,88,120
"478",18,0,43.3,167,59,120
"479",38,1,65.1,176,160,135
"480",39,1,57.1,618,365,120
"481",63,1,66.7,245,103,140
"482",46,0,63,171,68,130
"483",21,0,50.8,138,37,120
"484",58,1,83.3,263,126,160
"485",45,0,65.5,211,85,110
"486",61,1,72.2,259,157,180
"487",25,1,66,194,157,130
"488",63,0,68,266,195,150
"489",45,1,57.5,181,122,100
"490",23,1,63.7,229,132,120
"491",35,0,55.6,222,71,130
"492",63,0,63.9,181,194,140
"493",46,0,66,215,47,110
"494",22,0,59,216,67,120
"495",18,1,65,200,132,120
"496",63,0,85,355,363,240
"497",61,0,51,280,255,135
"498",48,1,94.2,208,143,120
"499",51,0,64.5,246,63,130
"500",47,1,115,307,409,160
"501",52,1,81.4,247,212,120
"502",26,1,68.9,189,81,160
"503",36,0,75,171,54,130
"504",41,1,77,251,135,140
"505",27,0,58.3,192,96,150
"506",44,1,96.3,240,183,130
"507",58,1,65,259,98,250
"508",42,1,77,231,294,140
"509",33,0,60.5,64,233,120
"510",26,1,74,152,63,115
"511",27,0,50,174,48,125
"512",49,1,105.7,194,206,120
"513",39,1,81.5,205,123,120
"514",57,1,59.9,130,100,95
"515",25,1,75.6,194,117,120
"516",24,1,65.5,173,100,110
"517",28,1,83,251,70,120
"518",53,0,74,278,277,155
"519",25,0,57,169,59,110
"520",59,1,71,244,91,155
"521",45,1,64.5,273,202,145
"522",43,1,75.9,286,268,120
"523",45,0,113,199,251,195
"524",40,0,99.8,313,151,150
"525",39,0,72.3,150,135,110
"526",35,0,68.4,229,42,120
"527",54,1,66.5,201,96,140
"528",54,1,65.3,217,99,150
"529",41,1,75,171,84,115
"530",41,0,69,263,74,120
"531",64,1,92,240,255,145
"532",39,1,78,237,186,150
"533",25,1,68,193,63,120
"534",28,1,67,230,84,130
"535",19,1,71.3,126,58,130
"536",27,1,72,231,222,130
"537",61,1,63,250,87,160
"538",50,1,63.1,206,80,125
"539",50,1,60,209,70,140
"540",63,1,95.5,279,173,175
"541",51,0,70,268,100,110
"542",27,1,93,206,97,150
"543",26,1,77,144,131,140
"544",43,1,60.2,220,125,110
"545",55,0,75,249,65,140
"546",36,1,97.5,249,346,130
"547",25,1,86,229,138,130
"548",26,1,79.5,198,200,160
"549",51,0,82,317,122,150
"550",46,1,91,231,193,120
"551",25,1,73,154,71,135
"552",26,0,56,133,23,105
"553",61,1,82,262,91,170
"554",43,1,56.4,150,71,130
"555",34,1,51.9,255,122,95
"556",37,0,54.4,258,95,110
"557",25,1,70,182,77,135
"558",24,1,75,178,89,165
"559",33,1,76,291,166,120
"560",63,1,75,214,166,110
"561",52,1,69.3,149,75,180
"562",31,1,76,264,95,120
"563",59,0,49,369,262,200
"564",48,0,58,257,86,140
"565",32,0,48,166,165,120
"566",28,1,69,157,108,140
"567",27,1,74,148,60,120
"568",59,1,84,216,115,110
"569",49,0,64,234,99,135
"570",46,1,61,178,89,135
"571",49,1,73.7,210,242,120
"572",58,0,53,241,59,140
"573",64,1,71,296,268,130
"574",22,0,61.3,199,64,120
"575",48,1,62,287,154,130
"576",52,0,68,258,155,190
"577",49,0,77,221,87,150
"578",22,0,59,168,130,120
"579",47,1,85.9,283,159,125
"580",51,0,77.6,238,147,130
"581",21,0,52,156,83,130
"582",56,1,93.6,231,173,140
"583",29,1,72,219,83,120
"584",54,1,65.5,149,52,110
"585",26,0,48,142,91,110
"586",19,0,53.3,191,179,100
"587",27,1,56,183,304,120
"588",45,0,80.2,171,36,100
"589",28,0,51,212,46,125
"590",39,1,68,207,85,160
"591",55,1,76,214,135,150
"592",50,0,59.7,186,130,150
"593",29,1,73,165,126,140
"594",62,1,94.1,241,63,120
"595",24,1,80,188,273,170
"596",61,1,77,290,112,120
"597",20,0,57,188,84,110
"598",40,1,98.3,218,213,130
"599",29,1,70,207,79,130
"600",29,1,73.2,202,113,130
"601",40,0,104,221,153,150
"602",34,1,70,197,112,110
"603",29,1,85,293,151,130
"604",44,0,55.8,274,164,110
"605",44,1,70,215,201,140
"606",37,0,67,210,100,150
"607",38,1,60,270,283,160
"608",54,1,80,227,209,130
"609",51,1,93.5,286,323,180
"610",44,1,71,214,135,140
"611",56,1,83,258,143,140
"612",53,0,72.9,252,320,130
"613",54,1,120,303,179,140
"614",34,1,80,251,57,120
"615",27,0,58,166,145,135
"616",61,0,70.9,255,147,110
"617",60,1,88.1,215,242,120
"618",35,0,81.5,186,76,135
"619",33,1,86.8,296,245,105
"620",52,1,80,135,115,190
"621",44,1,94,193,288,130
"622",55,0,67,236,121,120
"623",19,1,65,173,119,120
"624",48,0,80,222,145,130
"625",29,0,52,180,70,120
"626",18,0,53,163,61,120
"627",41,1,78.8,193,126,105
"628",60,0,85,206,78,150
"629",45,0,65,218,158,110
"630",47,0,75,261,196,130
"631",28,1,73.7,153,129,140
"632",58,1,93.8,230,258,110
"633",61,1,82.4,295,123,150
"634",23,1,78,158,118,120
"635",59,1,101,331,418,110
"636",60,0,65.5,246,141,140
"637",59,0,94.5,175,79,130
"638",63,0,71.5,281,139,110
"639",55,1,87,113,68,120
"640",35,0,74.3,188,78,110
"641",63,0,82,179,127,120
"642",24,1,64,186,87,130
"643",56,1,94.9,161,96,145
"644",53,1,79.7,243,135,125
"645",35,0,67,176,47,120
"646",25,1,66,158,98,95
"647",62,1,86.9,164,142,150
"648",57,1,81.1,351,281,120
"649",24,0,55.8,257,97,120
"650",24,1,80.5,203,305,130
"651",58,1,78,215,92,180
"652",27,1,80,270,285,160
"653",25,0,57,183,109,130
"654",29,0,54,252,154,110
"655",31,1,33,181,136,150
"656",25,1,68.7,226,75,125
"657",29,1,70,213,60,130
"658",49,0,72.5,267,86,155
"659",56,0,55.5,265,183,100
"660",59,1,55,214,412,190
"661",42,1,78,233,157,130
"662",31,0,64.7,201,130,120
"663",25,0,72.2,151,61,120
"664",48,1,95,255,193,180
"665",57,1,63.5,209,320,140
"666",27,1,65.1,183,171,125
"667",41,0,81.8,265,264,110
"668",52,0,77.9,300,89,150
"669",55,1,69,190,67,120
"670",47,1,91,286,358,140
"671",55,1,71.5,212,116,110
"672",30,1,84.5,218,115,220
"673",53,1,73.5,281,140,115
"674",50,1,80,221,226,160
"675",33,0,86,329,107,140
"676",55,0,70.8,234,90,110
"677",61,1,50,133,97,130
"678",24,1,70,193,160,125
"679",59,0,69,233,141,150
"680",27,0,65,236,144,155
"681",54,0,82,203,135,160
"682",19,1,66.9,186,88,120
"683",18,0,43.9,167,59,120
"684",37,1,69,249,136,130
"685",27,1,61,156,61,130
"686",25,1,66,194,157,130
"687",61,1,72.5,259,157,180
"688",45,0,63,208,88,110
"689",58,1,83.2,263,126,160
"690",21,0,50.8,138,37,120
"691",36,0,65.3,171,68,130
"692",59,0,67,209,118,155
"693",20,1,65.3,225,186,125
"694",48,1,85,193,86,135
"695",36,1,83,159,88,135
"696",30,1,67,258,156,145
"697",26,0,59,205,68,120
"698",45,1,75,258,277,160
"699",29,0,58.7,205,99,140
