day,date,time,operator,branch,driver,temperature,bill,pizzas,free_wine,got_wine,discount_customer
Thursday,01-May-14,40.32656204,Melissa,West,Salvatore,56.87606055,49.9,4,1,1,0
Thursday,01-May-14,29.28194438,Laura,Centre,Salvatore,61.99914129,48.8,3,0,0,1
Thursday,01-May-14,45.97845645,Melissa,West,Mario,62.49788882,48,3,1,1,0
Thursday,01-May-14,38.98661877,Laura,West,Mario,68.47487232,36.6,2,0,0,0
Thursday,01-May-14,35.36586604,Melissa,East,Salvatore,66.33905414,29.3,3,0,0,1
Thursday,01-May-14,32.14853175,Melissa,West,Salvatore,61.73810292,35.9,4,0,0,0
Thursday,01-May-14,38.22429021,Laura,Centre,Salvatore,66.21545615,51.6,4,0,0,0
Thursday,01-May-14,36.10071341,Laura,Centre,Bruno,64.0372866,45.2,3,0,0,1
Thursday,01-May-14,48.50988612,Melissa,West,Mario,58.99078716,43.3,2,1,1,1
Friday,02-May-14,22.30822216,Laura,East,Salvatore,73.21093606,37.2,3,0,0,1
Friday,02-May-14,29.84432511,Melissa,West,Bruno,63.38925778,42.3,7,0,0,0
Friday,02-May-14,30.49356112,Melissa,West,Luigi,54.61839846,48.4,3,0,0,0
Friday,02-May-14,37.85315349,Laura,Centre,Luigi,59.81781149,41.2,3,0,0,0
Friday,02-May-14,24.33818316,Laura,East,Mario,65.5641164,53.1,2,0,0,1
Friday,02-May-14,34.34324805,Melissa,East,Luigi,70.99617445,37.1,2,0,0,0
Friday,02-May-14,29.60602601,Melissa,West,Luigi,68.03774122,46.5,3,0,0,0
Friday,02-May-14,35.0471438,Laura,East,Mario,57.10000615,48.5,1,0,0,0
Friday,02-May-14,32.83409468,Melissa,West,Bruno,54.0862382,35.6,2,0,0,0
Friday,02-May-14,33.62529677,Laura,Centre,Salvatore,48.90812457,49.1,5,0,0,0
Friday,02-May-14,37.94889435,Melissa,West,Luigi,61.46414944,41.4,3,0,0,1
Friday,02-May-14,42.36846363,Melissa,Centre,Salvatore,61.44055787,47.9,4,1,1,1
Friday,02-May-14,33.13350347,Laura,West,Mario,63.71827571,38.6,3,0,0,1
Friday,02-May-14,32.44406002,Melissa,West,Luigi,69.74680752,47.8,1,0,0,0
Friday,02-May-14,41.75583486,Melissa,Centre,Mario,59.49071455,43,2,1,1,1
Friday,02-May-14,32.51006684,Laura,East,Salvatore,52.49850834,41,3,0,0,1
Friday,02-May-14,26.14415864,Melissa,West,Salvatore,47.42635265,47,4,0,0,1
Friday,02-May-14,42.86877612,Melissa,Centre,Luigi,61.11865692,35.6,4,1,1,0
Friday,02-May-14,33.40350813,Laura,Centre,Luigi,58.95042903,42.8,1,0,0,0
Friday,02-May-14,46.7001996,Melissa,Centre,Salvatore,53.40105089,60.6,3,1,0,0
Friday,02-May-14,37.08733826,Melissa,West,Luigi,63.34438523,42.8,4,0,0,1
Friday,02-May-14,34.23143081,Laura,East,Salvatore,56.02562853,52.8,4,0,0,0
Friday,02-May-14,16.68867305,Laura,East,Mario,87.2532692,10.8,1,0,0,0
Friday,02-May-14,38.46664616,Melissa,East,Luigi,64.39103013,43.2,1,0,0,1
Friday,02-May-14,31.98324613,Melissa,West,Bruno,62.48878012,52.4,3,0,0,1
Friday,02-May-14,38.87199535,Laura,East,Mario,62.62034229,50.5,3,0,0,0
Friday,02-May-14,28.77064393,Melissa,East,Bruno,73.14820997,35.5,1,0,0,0
Friday,02-May-14,28.96917614,Laura,West,Bruno,64.06286935,39.9,3,0,0,0
Friday,02-May-14,43.55574846,Melissa,East,Luigi,73.9755373,47.6,1,1,0,1
Friday,02-May-14,41.94352175,Melissa,West,Salvatore,59.96784855,36.4,3,1,1,0
Friday,02-May-14,41.29890985,Laura,Centre,Salvatore,54.4367242,37.4,3,1,1,0
Friday,02-May-14,37.95349866,Melissa,Centre,Luigi,61.50658042,49,3,0,0,1
Friday,02-May-14,29.55006204,Laura,East,Mario,69.46227526,33,3,0,0,0
Friday,02-May-14,39.26507913,Laura,West,Salvatore,65.45429409,31.9,4,0,0,0
Friday,02-May-14,34.84058188,Melissa,Centre,Bruno,59.46173415,44.2,3,0,0,1
Friday,02-May-14,41.55905227,Laura,Centre,Bruno,55.76329463,57.9,3,1,1,0
Friday,02-May-14,46.97457555,Laura,West,Bruno,58.2481946,42.1,3,1,1,0
Friday,02-May-14,30.23817164,Melissa,East,Luigi,62.68057475,32.2,2,0,0,0
Friday,02-May-14,35.40792328,Laura,West,Mario,54.66753007,40.3,4,0,0,1
Friday,02-May-14,41.90333312,Laura,Centre,Luigi,67.27132466,38.9,3,1,1,0
Friday,02-May-14,24.08722491,Melissa,West,Luigi,71.41701894,46.3,1,0,0,1
Friday,02-May-14,25.61931485,Melissa,East,Luigi,66.59543413,63.9,3,0,0,0
Friday,02-May-14,34.90374235,Melissa,Centre,Bruno,63.72434286,57.4,3,0,0,1
Friday,02-May-14,33.83440453,Laura,West,Mario,68.86363449,34.1,3,0,0,1
Friday,02-May-14,33.04304894,Melissa,West,Salvatore,60.75604969,34.6,5,0,0,0
Friday,02-May-14,26.09399852,Melissa,West,Luigi,50.63593709,43.2,5,0,0,0
Friday,02-May-14,37.94865815,Melissa,West,Bruno,63.22911411,55.6,3,0,0,0
Friday,02-May-14,31.06694366,Melissa,Centre,Mario,71.00678755,34.5,4,0,0,0
Friday,02-May-14,34.12602336,Laura,West,Mario,66.00691523,31.8,2,0,0,0
Friday,02-May-14,28.0023063,Melissa,West,Luigi,65.24387437,36.4,1,0,0,1
Friday,02-May-14,30.35180683,Laura,East,Salvatore,68.25253737,31.7,1,0,0,0
Saturday,03-May-14,34.28993704,Laura,West,Mario,60.98162005,49.5,4,0,0,0
Saturday,03-May-14,41.70236448,Laura,West,Bruno,62.72349706,54.4,1,1,0,0
Saturday,03-May-14,37.72953885,Laura,West,Bruno,64.45005716,46.6,4,0,0,0
Saturday,03-May-14,34.89903814,Laura,Centre,Salvatore,58.20153733,43,4,0,0,0
Saturday,03-May-14,45.03009046,Melissa,West,Mario,70.08781707,23.7,1,1,1,1
Saturday,03-May-14,31.14357208,Melissa,Centre,Bruno,64.24892634,37.5,2,0,0,0
Saturday,03-May-14,32.51957547,Laura,West,Bruno,47.02875322,38.7,4,0,0,0
Saturday,03-May-14,34.38203301,Laura,West,Luigi,55.61443199,35.6,3,0,0,0
Saturday,03-May-14,33.60271429,Melissa,East,Domenico,72.76962701,28.2,4,0,0,0
Saturday,03-May-14,30.79883056,Melissa,West,Mario,63.37900441,38.1,3,0,0,0
Saturday,03-May-14,36.23512515,Melissa,Centre,Mario,54.27333907,67.6,5,0,0,1
Saturday,03-May-14,28.44571401,Melissa,West,Luigi,60.27341692,25.2,2,0,0,0
Saturday,03-May-14,33.11243595,Melissa,West,Salvatore,61.71282629,46.2,5,0,0,0
Saturday,03-May-14,32.91755977,Laura,Centre,Salvatore,57.57074465,40.4,2,0,0,0
Saturday,03-May-14,46.39115749,Laura,Centre,Salvatore,54.70820425,54.8,7,1,1,0
Saturday,03-May-14,35.59925592,Melissa,East,Luigi,73.5453784,28.6,2,0,0,0
Saturday,03-May-14,29.77455946,Melissa,West,Mario,49.52433456,28.3,2,0,0,0
Saturday,03-May-14,39.28368893,Melissa,Centre,Mario,64.41143787,26,2,0,0,0
Saturday,03-May-14,43.60047662,Laura,Centre,Mario,58.0444709,44,6,1,1,0
Saturday,03-May-14,31.62040857,Melissa,Centre,Salvatore,64.37735094,45.6,4,0,0,0
Saturday,03-May-14,38.15975621,Laura,Centre,Mario,61.06695791,52.3,3,0,0,1
Saturday,03-May-14,29.50025534,Laura,West,Luigi,63.58434736,45.5,2,0,0,0
Saturday,03-May-14,40.34962154,Laura,East,Luigi,67.07077022,47.4,2,1,1,0
Saturday,03-May-14,27.69885303,Laura,Centre,Luigi,52.76287856,31.4,5,0,0,0
Saturday,03-May-14,35.66707219,Laura,East,Salvatore,63.80710574,42.4,2,0,0,0
Saturday,03-May-14,42.26400624,Laura,East,Domenico,76.51731012,23.5,2,1,1,0
Saturday,03-May-14,20.23800118,Melissa,East,Domenico,71.80494949,44.6,2,0,0,0
Saturday,03-May-14,40.50586444,Laura,East,Bruno,62.28414557,41.3,3,1,1,0
Saturday,03-May-14,33.55627988,Laura,West,Mario,61.09346191,47.2,4,0,0,0
Saturday,03-May-14,33.78556111,Laura,West,Bruno,59.19106561,36,5,0,0,0
Saturday,03-May-14,34.24004521,Laura,East,Mario,62.98725704,36.8,3,0,0,0
Saturday,03-May-14,26.47333203,Melissa,Centre,Domenico,68.54695995,29.8,1,0,0,0
Saturday,03-May-14,43.75923912,Melissa,West,Salvatore,51.29519977,41.8,2,1,0,0
Saturday,03-May-14,35.91095158,Melissa,East,Bruno,66.82868179,38,3,0,0,1
Saturday,03-May-14,24.83953658,Melissa,East,Luigi,66.77670069,19.6,1,0,0,0
Saturday,03-May-14,46.45084239,Melissa,West,Mario,59.62312506,42.2,3,1,1,0
Saturday,03-May-14,31.37609305,Melissa,East,Mario,55.9446167,33.7,2,0,0,0
Saturday,03-May-14,37.72796994,Melissa,Centre,Bruno,60.94293378,35.6,3,0,0,0
Saturday,03-May-14,25.38388004,Melissa,East,Domenico,71.01775537,31.3,3,0,0,0
Saturday,03-May-14,32.95608639,Laura,East,Mario,62.01930997,38.6,6,0,0,0
Saturday,03-May-14,34.60239851,Laura,West,Bruno,60.1710803,50.7,5,0,0,0
Saturday,03-May-14,34.36258778,Laura,West,Salvatore,54.86255796,30.6,4,0,0,0
Saturday,03-May-14,28.70386669,Melissa,East,Domenico,74.37361988,22.4,2,0,0,0
Saturday,03-May-14,40.62227361,Melissa,West,Salvatore,59.84325225,45.5,5,1,1,0
Saturday,03-May-14,32.26548946,Melissa,West,Bruno,57.71866222,42.1,3,0,0,0
Saturday,03-May-14,30.66123421,Melissa,East,Domenico,69.96366155,35.2,2,0,0,0
Saturday,03-May-14,34.59581904,Melissa,Centre,Salvatore,54.4034439,59.6,3,0,0,0
Saturday,03-May-14,28.43629652,Laura,West,Mario,58.69793825,36.2,2,0,0,1
Saturday,03-May-14,33.37903638,Laura,Centre,Salvatore,57.75110511,44.9,4,0,0,1
Saturday,03-May-14,27.78798052,Melissa,West,Bruno,69.10677284,30.1,1,0,0,1
Saturday,03-May-14,34.83556018,Laura,Centre,Mario,56.90560878,48.6,3,0,0,0
Saturday,03-May-14,38.64262909,Melissa,Centre,Salvatore,54.24165505,53.7,6,0,0,0
Saturday,03-May-14,32.84233872,Melissa,East,Luigi,70.80298026,50.4,6,0,0,0
Sunday,04-May-14,29.8926699,Laura,Centre,Mario,55.75616388,55.7,4,0,0,0
Sunday,04-May-14,40.79161825,Melissa,Centre,Salvatore,66.98703913,47.7,4,1,1,0
Sunday,04-May-14,24.4742752,Melissa,East,Domenico,73.04577444,41.9,1,0,0,0
Sunday,04-May-14,31.3916305,Melissa,West,Mario,64.7783736,35.3,5,0,0,0
Sunday,04-May-14,24.36145659,Laura,East,Domenico,72.90642866,24.6,5,0,0,0
Sunday,04-May-14,25.22923488,Laura,Centre,Salvatore,72.32482479,47.8,2,0,0,0
Sunday,04-May-14,40.67891988,Melissa,East,Domenico,60.86238879,34.3,3,1,0,0
Sunday,04-May-14,31.04258543,Laura,Centre,Luigi,59.70354497,41.6,3,0,0,0
Sunday,04-May-14,40.70924408,Laura,West,Mario,58.50343172,44.9,4,1,1,0
Sunday,04-May-14,37.31537873,Laura,Centre,Bruno,60.05719256,39.7,2,0,0,0
Sunday,04-May-14,34.47979077,Laura,Centre,Mario,61.61400559,53.6,4,0,0,1
Sunday,04-May-14,46.9048219,Laura,Centre,Luigi,58.07136247,46,3,1,1,0
Sunday,04-May-14,33.34590852,Laura,Centre,Luigi,60.82084256,52.2,4,0,0,0
Sunday,04-May-14,31.31815839,Laura,West,Mario,52.36365777,39.9,2,0,0,0
Sunday,04-May-14,37.53912363,Melissa,Centre,Bruno,58.21199636,55.5,4,0,0,0
Sunday,04-May-14,41.02112589,Laura,West,Salvatore,55.22489331,46.1,2,1,1,0
Sunday,04-May-14,36.01208104,Melissa,East,Domenico,61.80127339,51.1,5,0,0,0
Sunday,04-May-14,35.65426953,Melissa,East,Luigi,65.46181491,33.3,2,0,0,0
Sunday,04-May-14,37.84685365,Laura,West,Mario,58.09370171,47.9,2,0,0,0
Sunday,04-May-14,31.88495154,Laura,Centre,Salvatore,65.4854274,55.3,7,0,0,0
Sunday,04-May-14,43.49256427,Melissa,East,Mario,71.25702908,50.7,5,1,1,0
Sunday,04-May-14,36.6901939,Laura,Centre,Salvatore,62.88500583,54.2,2,0,0,0
Sunday,04-May-14,33.3317273,Laura,East,Bruno,64.51296186,37.7,4,0,0,0
Sunday,04-May-14,37.82806761,Laura,West,Domenico,66.1332291,35.9,2,0,0,0
Sunday,04-May-14,32.9315272,Laura,East,Bruno,58.90573427,43,2,0,0,1
Sunday,04-May-14,40.35839328,Laura,Centre,Salvatore,58.79433358,44.3,7,1,0,1
Sunday,04-May-14,37.89000045,Laura,West,Salvatore,55.75062956,45.7,5,0,0,0
Sunday,04-May-14,32.90051142,Laura,Centre,Salvatore,64.06238644,50.7,4,0,0,0
Sunday,04-May-14,32.29737202,Laura,Centre,Bruno,61.65037042,43.5,3,0,0,0
Sunday,04-May-14,31.74269998,Melissa,Centre,Luigi,57.51594215,40.4,3,0,0,0
Sunday,04-May-14,38.32656885,Melissa,West,Bruno,63.17743597,63.7,2,0,0,0
Sunday,04-May-14,28.28080407,Laura,West,Domenico,65.59011614,22.3,1,0,0,0
Sunday,04-May-14,32.56317296,Melissa,West,Domenico,62.40341384,31,6,0,0,0
Sunday,04-May-14,38.39012958,Laura,West,Mario,48.59149623,39,4,0,0,0
Sunday,04-May-14,34.82782211,Laura,Centre,Bruno,52.4434532,55.7,5,0,0,1
Sunday,04-May-14,38.56416747,Melissa,Centre,Salvatore,62.05469328,46.7,4,0,0,0
Sunday,04-May-14,29.68454642,Melissa,West,Luigi,74.77976102,49.8,2,0,0,0
Sunday,04-May-14,37.51390089,Melissa,Centre,Mario,61.34580774,30.4,4,0,0,1
Sunday,04-May-14,34.86537382,Laura,Centre,Luigi,73.48815267,36.8,3,0,0,1
Sunday,04-May-14,31.72630683,Laura,Centre,Salvatore,62.73364143,58,4,0,0,0
Sunday,04-May-14,29.66880886,Laura,West,Domenico,70.15009249,29.4,1,0,0,0
Sunday,04-May-14,15.3937206,Laura,East,Domenico,83.36472941,24.6,1,0,0,1
Sunday,04-May-14,38.27902331,Laura,Centre,Bruno,58.93788348,49.4,4,0,0,0
Sunday,04-May-14,34.6751474,Laura,Centre,Luigi,61.00091966,47.4,3,0,0,0
Sunday,04-May-14,38.09853061,Melissa,Centre,Salvatore,59.22616695,55.6,5,0,0,0
Sunday,04-May-14,27.66042461,Melissa,East,Domenico,73.7725405,30.8,1,0,0,0
Monday,05-May-14,34.85384287,Laura,Centre,Bruno,55.54995349,52.7,4,0,0,1
Monday,05-May-14,21.91763073,Laura,East,Salvatore,70.17376616,37.2,1,0,0,0
Monday,05-May-14,28.86276363,Laura,West,Salvatore,58.19766614,46.4,3,0,0,0
Monday,05-May-14,37.77139713,Laura,Centre,Bruno,61.38392561,67.5,6,0,0,0
Monday,05-May-14,48.01719063,Laura,East,Salvatore,57.01596979,33.8,5,1,1,1
Monday,05-May-14,32.14042519,Laura,East,Salvatore,66.49962766,51.9,4,0,0,1
Monday,05-May-14,36.80366947,Laura,East,Bruno,65.64251358,46.3,3,0,0,0
Monday,05-May-14,37.08555155,Laura,West,Salvatore,61.69423317,48.4,3,0,0,0
Monday,05-May-14,36.49582594,Laura,Centre,Bruno,59.38447131,60,4,0,0,0
Monday,05-May-14,34.24281244,Laura,Centre,Salvatore,55.2889167,43.6,6,0,0,1
Monday,05-May-14,29.60137196,Laura,East,Bruno,73.49038729,33.1,1,0,0,1
Monday,05-May-14,38.14589769,Laura,West,Bruno,58.21860095,45.6,2,0,0,0
Monday,05-May-14,34.95372594,Laura,Centre,Bruno,57.16479995,45.4,6,0,0,0
Monday,05-May-14,34.05407232,Laura,West,Salvatore,70.17717638,28.8,1,0,0,0
Monday,05-May-14,41.82139157,Laura,Centre,Bruno,53.92882262,57.4,3,1,1,1
Monday,05-May-14,16.12672717,Laura,East,Bruno,79.7815814,28.9,1,0,0,0
Monday,05-May-14,30.27450129,Laura,West,Bruno,64.83000571,54.8,2,0,0,0
Monday,05-May-14,20.55187308,Laura,East,Salvatore,68.59202494,36.2,4,0,0,0
Monday,05-May-14,32.28893471,Laura,Centre,Salvatore,59.96344794,41.6,2,0,0,0
Monday,05-May-14,30.59152084,Laura,West,Bruno,51.37494315,34.8,1,0,0,0
Monday,05-May-14,28.2971658,Laura,West,Salvatore,67.29481845,38.8,5,0,0,1
Monday,05-May-14,31.06790702,Laura,East,Salvatore,72.2033448,36.2,3,0,0,0
Monday,05-May-14,34.78826745,Laura,West,Bruno,59.10217007,60.4,5,0,0,0
Monday,05-May-14,41.3488933,Laura,Centre,Bruno,53.9309117,37,4,1,1,1
Monday,05-May-14,45.79335249,Laura,West,Bruno,55.53097203,58.2,3,1,1,0
Monday,05-May-14,36.63143791,Laura,Centre,Bruno,45.72372459,54.4,7,0,0,1
Monday,05-May-14,33.33673513,Laura,Centre,Salvatore,58.40544278,49.2,3,0,0,0
Monday,05-May-14,34.31284331,Laura,Centre,Bruno,63.53560818,59.4,4,0,0,0
Monday,05-May-14,29.08208891,Laura,East,Salvatore,68.43946177,41.9,3,0,0,0
Monday,05-May-14,29.69825191,Laura,West,Bruno,65.97422864,33,3,0,0,0
Monday,05-May-14,39.46636935,Laura,East,Bruno,63.12173725,38,3,0,0,1
Tuesday,06-May-14,32.70743489,Melissa,Centre,Mario,60.86023905,46.2,3,0,0,0
Tuesday,06-May-14,29.80138959,Melissa,West,Mario,63.14599671,51.4,2,0,0,0
Tuesday,06-May-14,43.95113304,Melissa,West,Bruno,66.45880982,56.6,6,1,0,0
Tuesday,06-May-14,34.58652777,Melissa,West,Bruno,57.08993455,64.4,4,0,0,0
Tuesday,06-May-14,28.09064213,Melissa,East,Bruno,71.66244346,26.1,2,0,0,1
Tuesday,06-May-14,30.84960675,Melissa,Centre,Mario,61.3225195,24.6,2,0,0,0
Tuesday,06-May-14,27.92122601,Melissa,East,Bruno,66.44371834,45.3,1,0,0,1
Tuesday,06-May-14,24.41591442,Melissa,West,Mario,60.1375999,34.6,4,0,0,0
Tuesday,06-May-14,39.08805737,Melissa,Centre,Bruno,58.50660737,53.7,4,0,0,0
Tuesday,06-May-14,36.17425447,Melissa,Centre,Mario,65.1003563,51.1,3,0,0,0
Tuesday,06-May-14,25.70414959,Melissa,East,Bruno,63.83757521,13.7,1,0,0,0
Tuesday,06-May-14,35.6513833,Melissa,East,Mario,70.99038387,19.3,1,0,0,1
Tuesday,06-May-14,40.66533336,Melissa,West,Bruno,59.3747927,53.9,4,1,1,0
Tuesday,06-May-14,32.0113968,Melissa,East,Mario,65.78877894,46.2,1,0,0,0
Tuesday,06-May-14,27.32446026,Melissa,East,Bruno,77.01931021,23.3,2,0,0,0
Tuesday,06-May-14,38.44490861,Melissa,West,Bruno,66.8629677,32.4,2,0,0,0
Tuesday,06-May-14,35.17488908,Melissa,East,Mario,63.35080065,59.2,3,0,0,0
Tuesday,06-May-14,40.5328797,Melissa,West,Bruno,55.51498716,53.4,5,1,0,0
Tuesday,06-May-14,41.09681783,Melissa,Centre,Mario,57.02423356,51,5,1,1,0
Tuesday,06-May-14,43.43568403,Melissa,Centre,Mario,66.05395711,52.9,4,1,0,0
Tuesday,06-May-14,47.46307088,Melissa,West,Bruno,62.48549566,59.1,4,1,1,0
Tuesday,06-May-14,36.78543102,Melissa,West,Mario,61.65032107,39.5,2,0,0,0
Tuesday,06-May-14,43.98734093,Melissa,Centre,Mario,58.84680192,42.4,3,1,0,0
Tuesday,06-May-14,28.51035084,Melissa,East,Mario,62.48480161,36.2,1,0,0,0
Tuesday,06-May-14,33.44734629,Melissa,East,Mario,58.40875135,36.2,4,0,0,0
Tuesday,06-May-14,41.20781368,Melissa,Centre,Bruno,55.59571953,49.6,4,1,1,0
Tuesday,06-May-14,43.31437418,Melissa,Centre,Bruno,50.22884332,48.6,4,1,0,0
Tuesday,06-May-14,13.27991797,Melissa,East,Bruno,83.78830062,10.6,1,0,0,0
Tuesday,06-May-14,32.04848343,Melissa,East,Mario,63.8873644,31.9,3,0,0,0
Tuesday,06-May-14,35.82663069,Melissa,West,Bruno,68.37598366,30.2,2,0,0,1
Tuesday,06-May-14,35.60198723,Melissa,Centre,Mario,69.56498312,44.6,2,0,0,0
Tuesday,06-May-14,38.68475626,Melissa,East,Mario,66.62979613,48.9,1,0,0,0
Tuesday,06-May-14,31.6514269,Melissa,West,Mario,56.60536373,48.7,5,0,0,0
Wednesday,07-May-14,28.4763683,Melissa,East,Salvatore,65.79146109,54.9,2,0,0,0
Wednesday,07-May-14,42.61557766,Laura,Centre,Salvatore,52.67528902,57.6,4,1,1,0
Wednesday,07-May-14,25.17980326,Melissa,West,Salvatore,65.01641819,55.1,2,0,0,0
Wednesday,07-May-14,42.87403453,Melissa,West,Mario,56.00392374,58.2,5,1,1,0
Wednesday,07-May-14,28.89220172,Melissa,East,Salvatore,67.1756914,28.6,2,0,0,0
Wednesday,07-May-14,42.34630923,Melissa,East,Mario,62.50876965,49.7,3,1,1,0
Wednesday,07-May-14,40.13237013,Melissa,Centre,Mario,57.67049439,44.3,4,1,1,1
Wednesday,07-May-14,34.13543143,Laura,East,Salvatore,70.24776312,50.4,3,0,0,0
Wednesday,07-May-14,39.91527702,Melissa,Centre,Salvatore,53.52384334,54.5,4,0,0,0
Wednesday,07-May-14,43.23357695,Laura,Centre,Mario,61.54815021,42.3,4,1,1,1
Wednesday,07-May-14,25.86548249,Melissa,Centre,Salvatore,63.68772745,42.7,4,0,0,0
Wednesday,07-May-14,40.24433082,Melissa,Centre,Salvatore,62.78106469,39.1,4,1,1,0
Wednesday,07-May-14,25.12680053,Laura,West,Mario,64.59100588,31.2,3,0,0,1
Wednesday,07-May-14,28.6603397,Laura,East,Mario,67.9477907,46,3,0,0,0
Wednesday,07-May-14,40.34138717,Melissa,West,Salvatore,58.49747475,58.8,2,1,0,0
Wednesday,07-May-14,43.73674404,Melissa,Centre,Mario,53.09666307,60.1,4,1,1,0
Wednesday,07-May-14,52.23012905,Laura,Centre,Mario,64.82667367,55.9,7,1,1,0
Wednesday,07-May-14,35.75512891,Laura,Centre,Salvatore,54.24384332,43,4,0,0,0
Wednesday,07-May-14,30.39506867,Laura,Centre,Salvatore,58.44397131,40.1,3,0,0,0
Wednesday,07-May-14,42.31205748,Laura,East,Mario,68.49807217,38.6,2,1,1,0
Wednesday,07-May-14,32.46940447,Melissa,East,Salvatore,65.6788076,35.9,1,0,0,1
Wednesday,07-May-14,38.81888536,Melissa,West,Salvatore,58.44361469,46.2,4,0,0,0
Wednesday,07-May-14,39.19448289,Laura,West,Salvatore,53.77939449,36.6,3,0,0,0
Wednesday,07-May-14,35.65195527,Melissa,Centre,Mario,52.82068176,56.3,3,0,0,1
Wednesday,07-May-14,38.63048721,Melissa,West,Mario,59.83190401,41.7,3,0,0,0
Wednesday,07-May-14,33.7281991,Laura,West,Mario,59.51409832,54.3,2,0,0,0
Wednesday,07-May-14,32.4977359,Melissa,Centre,Salvatore,55.99381169,54.7,3,0,0,0
Wednesday,07-May-14,35.32800674,Melissa,Centre,Mario,58.74174213,40.5,3,0,0,0
Wednesday,07-May-14,40.87301223,Melissa,West,Salvatore,59.46722066,57.6,3,1,0,0
Wednesday,07-May-14,32.19884739,Melissa,East,Salvatore,64.55234209,40.2,4,0,0,0
Wednesday,07-May-14,42.04301393,Laura,West,Mario,56.87572628,39.7,3,1,1,0
Wednesday,07-May-14,39.45903912,Melissa,West,Mario,70.32326724,39.9,2,0,0,0
