# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-10-06 16:01:15 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06730200 BOULDER CREEK AT NORTH 75TH ST. NEAR BOULDER, CO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06730200
#            TS   parameter     statistic     Description
#         17663       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	17663_00060_00003	17663_00060_00003_cd
USGS	06730200	1986-11-27	48	A
USGS	06730200	1986-11-28	55	A
USGS	06730200	1986-11-29	59	A
USGS	06730200	1986-11-30	64	A
USGS	06730200	1986-12-01	62	A
USGS	06730200	1986-12-02	63	A
USGS	06730200	1986-12-03	60	A
USGS	06730200	1986-12-04	62	A
USGS	06730200	1986-12-05	57	A
USGS	06730200	1986-12-06	64	A
USGS	06730200	1986-12-07	74	A
USGS	06730200	1986-12-08	66	A
USGS	06730200	1986-12-09	69	A
USGS	06730200	1986-12-10	74	A
USGS	06730200	1986-12-11	77	A
USGS	06730200	1986-12-12	73	A
USGS	06730200	1986-12-13	65	A
USGS	06730200	1986-12-14	73	A
USGS	06730200	1986-12-15	72	A
USGS	06730200	1986-12-16	69	A
USGS	06730200	1986-12-17	63	A
USGS	06730200	1986-12-18	65	A
USGS	06730200	1986-12-19	67	A
USGS	06730200	1986-12-20	74	A
USGS	06730200	1986-12-21	62	A
USGS	06730200	1986-12-22	72	A
USGS	06730200	1986-12-23	35	A
USGS	06730200	1986-12-24	57	A
USGS	06730200	1986-12-25	54	A
USGS	06730200	1986-12-26	61	A
USGS	06730200	1986-12-27	58	A
USGS	06730200	1986-12-28	61	A
USGS	06730200	1986-12-29	62	A
USGS	06730200	1986-12-30	66	A
USGS	06730200	1986-12-31	63	A
USGS	06730200	1987-01-01	64	A
USGS	06730200	1987-01-02	74	A
USGS	06730200	1987-01-03	67	A
USGS	06730200	1987-01-04	68	A
USGS	06730200	1987-01-05	69	A
USGS	06730200	1987-01-06	75	A
USGS	06730200	1987-01-07	72	A
USGS	06730200	1987-01-08	71	A
USGS	06730200	1987-01-09	69	A
USGS	06730200	1987-01-10	70	A
USGS	06730200	1987-01-11	73	A
USGS	06730200	1987-01-12	74	A
USGS	06730200	1987-01-13	63	A
USGS	06730200	1987-01-14	75	A
USGS	06730200	1987-01-15	78	A
USGS	06730200	1987-01-16	69	A
USGS	06730200	1987-01-17	59	A
USGS	06730200	1987-01-18	69	A
USGS	06730200	1987-01-19	65	A
USGS	06730200	1987-01-20	65	A
USGS	06730200	1987-01-21	68	A
USGS	06730200	1987-01-22	62	A
USGS	06730200	1987-01-23	66	A
USGS	06730200	1987-01-24	74	A
USGS	06730200	1987-01-25	72	A
USGS	06730200	1987-01-26	61	A
USGS	06730200	1987-01-27	80	A
USGS	06730200	1987-01-28	65	A
USGS	06730200	1987-01-29	65	A
USGS	06730200	1987-01-30	59	A
USGS	06730200	1987-01-31	55	A
USGS	06730200	1987-02-01	56	A
USGS	06730200	1987-02-02	57	A
USGS	06730200	1987-02-03	63	A
USGS	06730200	1987-02-04	57	A
USGS	06730200	1987-02-05	60	A
USGS	06730200	1987-02-06	46	A
USGS	06730200	1987-02-07	42	A
USGS	06730200	1987-02-08	43	A
USGS	06730200	1987-02-09	44	A
USGS	06730200	1987-02-10	56	A
USGS	06730200	1987-02-11	49	A
USGS	06730200	1987-02-12	46	A
USGS	06730200	1987-02-13	63	A
USGS	06730200	1987-02-14	64	A
USGS	06730200	1987-02-15	73	A
USGS	06730200	1987-02-16	72	A
USGS	06730200	1987-02-17	65	A
USGS	06730200	1987-02-18	66	A
USGS	06730200	1987-02-19	62	A
USGS	06730200	1987-02-20	77	A
USGS	06730200	1987-02-21	64	A
USGS	06730200	1987-02-22	67	A
USGS	06730200	1987-02-23	67	A
USGS	06730200	1987-02-24	58	A
USGS	06730200	1987-02-25	60	A
USGS	06730200	1987-02-26	57	A
USGS	06730200	1987-02-27	60	A
USGS	06730200	1987-02-28	59	A
USGS	06730200	1987-03-01	67	A
USGS	06730200	1987-03-02	62	A
USGS	06730200	1987-03-03	67	A
USGS	06730200	1987-03-04	72	A
USGS	06730200	1987-03-05	74	A
USGS	06730200	1987-03-06	81	A
USGS	06730200	1987-03-07	87	A
USGS	06730200	1987-03-08	115	A
USGS	06730200	1987-03-09	98	A
USGS	06730200	1987-03-10	99	A
USGS	06730200	1987-03-11	100	A
USGS	06730200	1987-03-12	76	A
USGS	06730200	1987-03-13	58	A
USGS	06730200	1987-03-14	63	A
USGS	06730200	1987-03-15	65	A
USGS	06730200	1987-03-16	95	A
USGS	06730200	1987-03-17	70	A
USGS	06730200	1987-03-18	77	A
USGS	06730200	1987-03-19	78	A
USGS	06730200	1987-03-20	97	A
USGS	06730200	1987-03-21	81	A
USGS	06730200	1987-03-22	97	A
USGS	06730200	1987-03-23	91	A
USGS	06730200	1987-03-24	72	A
USGS	06730200	1987-03-25	59	A
USGS	06730200	1987-03-26	70	A
USGS	06730200	1987-03-27	66	A
USGS	06730200	1987-03-28	62	A
USGS	06730200	1987-03-29	58	A
USGS	06730200	1987-03-30	64	A
USGS	06730200	1987-03-31	61	A
USGS	06730200	1987-04-01	58	A
USGS	06730200	1987-04-02	73	A
USGS	06730200	1987-04-03	76	A
USGS	06730200	1987-04-04	81	A
USGS	06730200	1987-04-05	91	A
USGS	06730200	1987-04-06	85	A
USGS	06730200	1987-04-07	91	A
USGS	06730200	1987-04-08	94	A
USGS	06730200	1987-04-09	93	A
USGS	06730200	1987-04-10	99	A
USGS	06730200	1987-04-11	90	A
USGS	06730200	1987-04-12	120	A
USGS	06730200	1987-04-13	112	A
USGS	06730200	1987-04-14	95	A
USGS	06730200	1987-04-15	121	A
USGS	06730200	1987-04-16	153	A
USGS	06730200	1987-04-17	182	A
USGS	06730200	1987-04-18	216	A
USGS	06730200	1987-04-19	195	A
USGS	06730200	1987-04-20	217	A
USGS	06730200	1987-04-21	176	A
USGS	06730200	1987-04-22	187	A
USGS	06730200	1987-04-23	202	A
USGS	06730200	1987-04-24	225	A
USGS	06730200	1987-04-25	226	A
USGS	06730200	1987-04-26	229	A
USGS	06730200	1987-04-27	196	A
USGS	06730200	1987-04-28	175	A
USGS	06730200	1987-04-29	198	A
USGS	06730200	1987-04-30	191	A
USGS	06730200	1987-05-01	176	A
USGS	06730200	1987-05-02	178	A
USGS	06730200	1987-05-03	234	A
USGS	06730200	1987-05-04	257	A
USGS	06730200	1987-05-05	174	A
USGS	06730200	1987-05-06	214	A
USGS	06730200	1987-05-07	219	A
USGS	06730200	1987-05-08	218	A
USGS	06730200	1987-05-09	208	A
USGS	06730200	1987-05-10	200	A
USGS	06730200	1987-05-11	189	A
USGS	06730200	1987-05-12	173	A
USGS	06730200	1987-05-13	147	A
USGS	06730200	1987-05-14	135	A
USGS	06730200	1987-05-15	128	A
USGS	06730200	1987-05-16	114	A
USGS	06730200	1987-05-17	116	A
USGS	06730200	1987-05-18	200	A
USGS	06730200	1987-05-19	216	A
USGS	06730200	1987-05-20	217	A
USGS	06730200	1987-05-21	193	A
USGS	06730200	1987-05-22	184	A
USGS	06730200	1987-05-23	174	A
USGS	06730200	1987-05-24	237	A
USGS	06730200	1987-05-25	293	A
USGS	06730200	1987-05-26	239	A
USGS	06730200	1987-05-27	206	A
USGS	06730200	1987-05-28	178	A
USGS	06730200	1987-05-29	158	A
USGS	06730200	1987-05-30	117	A
USGS	06730200	1987-05-31	113	A
USGS	06730200	1987-06-01	116	A
USGS	06730200	1987-06-02	119	A
USGS	06730200	1987-06-03	129	A
USGS	06730200	1987-06-04	119	A
USGS	06730200	1987-06-05	105	A
USGS	06730200	1987-06-06	107	A
USGS	06730200	1987-06-07	115	A
USGS	06730200	1987-06-08	132	A
USGS	06730200	1987-06-09	887	A
USGS	06730200	1987-06-10	538	A
USGS	06730200	1987-06-11	434	A
USGS	06730200	1987-06-12	311	A
USGS	06730200	1987-06-13	250	A
USGS	06730200	1987-06-14	224	A
USGS	06730200	1987-06-15	172	A
USGS	06730200	1987-06-16	114	A
USGS	06730200	1987-06-17	99	A
USGS	06730200	1987-06-18	84	A
USGS	06730200	1987-06-19	153	A
USGS	06730200	1987-06-20	196	A
USGS	06730200	1987-06-21	192	A
USGS	06730200	1987-06-22	191	A
USGS	06730200	1987-06-23	177	A
USGS	06730200	1987-06-24	105	A
USGS	06730200	1987-06-25	107	A
USGS	06730200	1987-06-26	122	A
USGS	06730200	1987-06-27	138	A
USGS	06730200	1987-06-28	144	A
USGS	06730200	1987-06-29	161	A
USGS	06730200	1987-06-30	475	A
USGS	06730200	1987-07-01	441	A
USGS	06730200	1987-07-02	288	A
USGS	06730200	1987-07-03	242	A
USGS	06730200	1987-07-04	158	A
USGS	06730200	1987-07-05	155	A
USGS	06730200	1987-07-06	118	A
USGS	06730200	1987-07-07	102	A
USGS	06730200	1987-07-08	104	A
USGS	06730200	1987-07-09	123	A
USGS	06730200	1987-07-10	122	A
USGS	06730200	1987-07-11	145	A
USGS	06730200	1987-07-12	164	A
USGS	06730200	1987-07-13	183	A
USGS	06730200	1987-07-14	169	A
USGS	06730200	1987-07-15	150	A
USGS	06730200	1987-07-16	147	A
USGS	06730200	1987-07-17	129	A
USGS	06730200	1987-07-18	127	A
USGS	06730200	1987-07-19	123	A
USGS	06730200	1987-07-20	124	A
USGS	06730200	1987-07-21	127	A
USGS	06730200	1987-07-22	131	A
USGS	06730200	1987-07-23	139	A
USGS	06730200	1987-07-24	146	A
USGS	06730200	1987-07-25	153	A
USGS	06730200	1987-07-26	173	A
USGS	06730200	1987-07-27	218	A
USGS	06730200	1987-07-28	246	A
USGS	06730200	1987-07-29	264	A
USGS	06730200	1987-07-30	275	A
USGS	06730200	1987-07-31	275	A
USGS	06730200	1987-08-01	218	A
USGS	06730200	1987-08-02	200	A
USGS	06730200	1987-08-03	195	A
USGS	06730200	1987-08-04	184	A
USGS	06730200	1987-08-05	153	A
USGS	06730200	1987-08-06	143	A
USGS	06730200	1987-08-07	125	A
USGS	06730200	1987-08-08	117	A
USGS	06730200	1987-08-09	95	A
USGS	06730200	1987-08-10	98	A
USGS	06730200	1987-08-11	80	A
USGS	06730200	1987-08-12	77	A
USGS	06730200	1987-08-13	80	A
USGS	06730200	1987-08-14	81	A
USGS	06730200	1987-08-15	75	A
USGS	06730200	1987-08-16	78	A
USGS	06730200	1987-08-17	85	A
USGS	06730200	1987-08-18	79	A
USGS	06730200	1987-08-19	76	A
USGS	06730200	1987-08-20	73	A
USGS	06730200	1987-08-21	75	A
USGS	06730200	1987-08-22	84	A
USGS	06730200	1987-08-23	94	A
USGS	06730200	1987-08-24	69	A
USGS	06730200	1987-08-25	65	A
USGS	06730200	1987-08-26	84	A
USGS	06730200	1987-08-27	83	A
USGS	06730200	1987-08-28	78	A
USGS	06730200	1987-08-29	56	A
USGS	06730200	1987-08-30	50	A
USGS	06730200	1987-08-31	55	A
USGS	06730200	1987-09-01	53	A
USGS	06730200	1987-09-02	54	A
USGS	06730200	1987-09-03	55	A
USGS	06730200	1987-09-04	62	A
USGS	06730200	1987-09-05	59	A
USGS	06730200	1987-09-06	59	A
USGS	06730200	1987-09-07	64	A
USGS	06730200	1987-09-08	62	A
USGS	06730200	1987-09-09	64	A
USGS	06730200	1987-09-10	64	A
USGS	06730200	1987-09-11	68	A
USGS	06730200	1987-09-12	60	A
USGS	06730200	1987-09-13	60	A
USGS	06730200	1987-09-14	65	A
USGS	06730200	1987-09-15	85	A
USGS	06730200	1987-09-16	62	A
USGS	06730200	1987-09-17	54	A
USGS	06730200	1987-09-18	53	A
USGS	06730200	1987-09-19	50	A
USGS	06730200	1987-09-20	50	A
USGS	06730200	1987-09-21	53	A
USGS	06730200	1987-09-22	50	A
USGS	06730200	1987-09-23	45	A
USGS	06730200	1987-09-24	41	A
USGS	06730200	1987-09-25	37	A
USGS	06730200	1987-09-26	34	A
USGS	06730200	1987-09-27	37	A
USGS	06730200	1987-09-28	35	A
USGS	06730200	1987-09-29	37	A
USGS	06730200	1987-09-30	37	A
USGS	06730200	1987-10-01	32	A
USGS	06730200	1987-10-02	30	A
USGS	06730200	1987-10-03	24	A
USGS	06730200	1987-10-04	27	A
USGS	06730200	1987-10-05	35	A
USGS	06730200	1987-10-06	39	A
USGS	06730200	1987-10-07	38	A
USGS	06730200	1987-10-08	36	A
USGS	06730200	1987-10-09	37	A
USGS	06730200	1987-10-10	35	A
USGS	06730200	1987-10-11	49	A
USGS	06730200	1987-10-12	56	A
USGS	06730200	1987-10-13	63	A
USGS	06730200	1987-10-14	65	A
USGS	06730200	1987-10-15	101	A
USGS	06730200	1987-10-16	56	A
USGS	06730200	1987-10-17	79	A
USGS	06730200	1987-10-18	57	A
USGS	06730200	1987-10-19	78	A
USGS	06730200	1987-10-20	79	A
USGS	06730200	1987-10-21	50	A
USGS	06730200	1987-10-22	44	A
USGS	06730200	1987-10-23	58	A
USGS	06730200	1987-10-24	47	A
USGS	06730200	1987-10-25	56	A
USGS	06730200	1987-10-26	52	A
USGS	06730200	1987-10-27	50	A
USGS	06730200	1987-10-28	55	A
USGS	06730200	1987-10-29	80	A
USGS	06730200	1987-10-30	63	A
USGS	06730200	1987-10-31	99	A
USGS	06730200	1987-11-01	74	A
USGS	06730200	1987-11-02	84	A
USGS	06730200	1987-11-03	78	A
USGS	06730200	1987-11-04	69	A
USGS	06730200	1987-11-05	59	A
USGS	06730200	1987-11-06	60	A
USGS	06730200	1987-11-07	51	A
USGS	06730200	1987-11-08	53	A
USGS	06730200	1987-11-09	45	A
USGS	06730200	1987-11-10	47	A
USGS	06730200	1987-11-11	46	A
USGS	06730200	1987-11-12	57	A
USGS	06730200	1987-11-13	66	A
USGS	06730200	1987-11-14	61	A
USGS	06730200	1987-11-15	91	A
USGS	06730200	1987-11-16	81	A
USGS	06730200	1987-11-17	78	A
USGS	06730200	1987-11-18	54	A
USGS	06730200	1987-11-19	69	A
USGS	06730200	1987-11-20	58	A
USGS	06730200	1987-11-21	61	A
USGS	06730200	1987-11-22	51	A
USGS	06730200	1987-11-23	46	A
USGS	06730200	1987-11-24	42	A
USGS	06730200	1987-11-25	48	A
USGS	06730200	1987-11-26	51	A
USGS	06730200	1987-11-27	46	A
USGS	06730200	1987-11-28	45	A
USGS	06730200	1987-11-29	44	A
USGS	06730200	1987-11-30	45	A
USGS	06730200	1987-12-01	38	A
USGS	06730200	1987-12-02	57	A
USGS	06730200	1987-12-03	49	A
USGS	06730200	1987-12-04	49	A
USGS	06730200	1987-12-05	51	A
USGS	06730200	1987-12-06	54	A
USGS	06730200	1987-12-07	51	A
USGS	06730200	1987-12-08	48	A
USGS	06730200	1987-12-09	44	A
USGS	06730200	1987-12-10	48	A
USGS	06730200	1987-12-11	43	A
USGS	06730200	1987-12-12	30	A
USGS	06730200	1987-12-13	27	A
USGS	06730200	1987-12-14	29	A
USGS	06730200	1987-12-15	32	A
USGS	06730200	1987-12-16	35	A
USGS	06730200	1987-12-17	39	A
USGS	06730200	1987-12-18	45	A
USGS	06730200	1987-12-19	43	A
USGS	06730200	1987-12-20	34	A
USGS	06730200	1987-12-21	28	A
USGS	06730200	1987-12-22	34	A
USGS	06730200	1987-12-23	25	A
USGS	06730200	1987-12-24	22	A
USGS	06730200	1987-12-25	21	A
USGS	06730200	1987-12-26	20	A
USGS	06730200	1987-12-27	21	A
USGS	06730200	1987-12-28	24	A
USGS	06730200	1987-12-29	25	A
USGS	06730200	1987-12-30	26	A
USGS	06730200	1987-12-31	27	A
USGS	06730200	1988-01-01	29	A
USGS	06730200	1988-01-02	30	A
USGS	06730200	1988-01-03	31	A
USGS	06730200	1988-01-04	32	A
USGS	06730200	1988-01-05	33	A
USGS	06730200	1988-01-06	35	A
USGS	06730200	1988-01-07	36	A
USGS	06730200	1988-01-08	37	A
USGS	06730200	1988-01-09	38	A
USGS	06730200	1988-01-10	39	A
USGS	06730200	1988-01-11	40	A
USGS	06730200	1988-01-12	41	A
USGS	06730200	1988-01-13	42	A
USGS	06730200	1988-01-14	34	A
USGS	06730200	1988-01-15	37	A
USGS	06730200	1988-01-16	37	A
USGS	06730200	1988-01-17	38	A
USGS	06730200	1988-01-18	32	A
USGS	06730200	1988-01-19	40	A
USGS	06730200	1988-01-20	29	A
USGS	06730200	1988-01-21	29	A
USGS	06730200	1988-01-22	28	A
USGS	06730200	1988-01-23	40	A
USGS	06730200	1988-01-24	39	A
USGS	06730200	1988-01-25	41	A
USGS	06730200	1988-01-26	42	A
USGS	06730200	1988-01-27	39	A
USGS	06730200	1988-01-28	44	A
USGS	06730200	1988-01-29	63	A
USGS	06730200	1988-01-30	49	A
USGS	06730200	1988-01-31	41	A
USGS	06730200	1988-02-01	38	A
USGS	06730200	1988-02-02	30	A
USGS	06730200	1988-02-03	47	A
USGS	06730200	1988-02-04	31	A
USGS	06730200	1988-02-05	41	A
USGS	06730200	1988-02-06	30	A
USGS	06730200	1988-02-07	44	A
USGS	06730200	1988-02-08	33	A
USGS	06730200	1988-02-09	48	A
USGS	06730200	1988-02-10	30	A
USGS	06730200	1988-02-11	43	A
USGS	06730200	1988-02-12	39	A
USGS	06730200	1988-02-13	36	A
USGS	06730200	1988-02-14	46	A
USGS	06730200	1988-02-15	35	A
USGS	06730200	1988-02-16	47	A
USGS	06730200	1988-02-17	48	A
USGS	06730200	1988-02-18	35	A
USGS	06730200	1988-02-19	52	A
USGS	06730200	1988-02-20	42	A
USGS	06730200	1988-02-21	52	A
USGS	06730200	1988-02-22	46	A
USGS	06730200	1988-02-23	57	A
USGS	06730200	1988-02-24	56	A
USGS	06730200	1988-02-25	70	A
USGS	06730200	1988-02-26	70	A
USGS	06730200	1988-02-27	66	A
USGS	06730200	1988-02-28	67	A
USGS	06730200	1988-02-29	67	A
USGS	06730200	1988-03-01	62	A
USGS	06730200	1988-03-02	86	A
USGS	06730200	1988-03-03	67	A
USGS	06730200	1988-03-04	60	A
USGS	06730200	1988-03-05	49	A
USGS	06730200	1988-03-06	48	A
USGS	06730200	1988-03-07	40	A
USGS	06730200	1988-03-08	47	A
USGS	06730200	1988-03-09	50	A
USGS	06730200	1988-03-10	39	A
USGS	06730200	1988-03-11	45	A
USGS	06730200	1988-03-12	38	A
USGS	06730200	1988-03-13	28	A
USGS	06730200	1988-03-14	27	A
USGS	06730200	1988-03-15	23	A
USGS	06730200	1988-03-16	22	A
USGS	06730200	1988-03-17	25	A
USGS	06730200	1988-03-18	24	A
USGS	06730200	1988-03-19	26	A
USGS	06730200	1988-03-20	26	A
USGS	06730200	1988-03-21	25	A
USGS	06730200	1988-03-22	35	A
USGS	06730200	1988-03-23	25	A
USGS	06730200	1988-03-24	29	A
USGS	06730200	1988-03-25	27	A
USGS	06730200	1988-03-26	21	A
USGS	06730200	1988-03-27	31	A
USGS	06730200	1988-03-28	22	A
USGS	06730200	1988-03-29	33	A
USGS	06730200	1988-03-30	25	A
USGS	06730200	1988-03-31	33	A
USGS	06730200	1988-04-01	28	A
USGS	06730200	1988-04-02	39	A
USGS	06730200	1988-04-03	34	A
USGS	06730200	1988-04-04	38	A
USGS	06730200	1988-04-05	26	A
USGS	06730200	1988-04-06	35	A
USGS	06730200	1988-04-07	33	A
USGS	06730200	1988-04-08	51	A
USGS	06730200	1988-04-09	41	A
USGS	06730200	1988-04-10	28	A
USGS	06730200	1988-04-11	39	A
USGS	06730200	1988-04-12	31	A
USGS	06730200	1988-04-13	86	A
USGS	06730200	1988-04-14	61	A
USGS	06730200	1988-04-15	60	A
USGS	06730200	1988-04-16	26	A
USGS	06730200	1988-04-17	31	A
USGS	06730200	1988-04-18	56	A
USGS	06730200	1988-04-19	36	A
USGS	06730200	1988-04-20	62	A
USGS	06730200	1988-04-21	61	A
USGS	06730200	1988-04-22	76	A
USGS	06730200	1988-04-23	36	A
USGS	06730200	1988-04-24	63	A
USGS	06730200	1988-04-25	31	A
USGS	06730200	1988-04-26	54	A
USGS	06730200	1988-04-27	30	A
USGS	06730200	1988-04-28	45	A
USGS	06730200	1988-04-29	28	A
USGS	06730200	1988-04-30	32	A
USGS	06730200	1988-05-01	37	A
USGS	06730200	1988-05-02	51	A
USGS	06730200	1988-05-03	46	A
USGS	06730200	1988-05-04	48	A
USGS	06730200	1988-05-05	53	A
USGS	06730200	1988-05-06	74	A
USGS	06730200	1988-05-07	109	A
USGS	06730200	1988-05-08	122	A
USGS	06730200	1988-05-09	102	A
USGS	06730200	1988-05-10	102	A
USGS	06730200	1988-05-11	127	A
USGS	06730200	1988-05-12	141	A
USGS	06730200	1988-05-13	161	A
USGS	06730200	1988-05-14	160	A
USGS	06730200	1988-05-15	169	A
USGS	06730200	1988-05-16	188	A
USGS	06730200	1988-05-17	211	A
USGS	06730200	1988-05-18	400	A
USGS	06730200	1988-05-19	564	A
USGS	06730200	1988-05-20	455	A
USGS	06730200	1988-05-21	314	A
USGS	06730200	1988-05-22	221	A
USGS	06730200	1988-05-23	179	A
USGS	06730200	1988-05-24	108	A
USGS	06730200	1988-05-25	70	A
USGS	06730200	1988-05-26	110	A
USGS	06730200	1988-05-27	130	A
USGS	06730200	1988-05-28	91	A
USGS	06730200	1988-05-29	92	A
USGS	06730200	1988-05-30	127	A
USGS	06730200	1988-05-31	111	A
USGS	06730200	1988-06-01	88	A
USGS	06730200	1988-06-02	73	A
USGS	06730200	1988-06-03	77	A
USGS	06730200	1988-06-04	73	A
USGS	06730200	1988-06-05	73	A
USGS	06730200	1988-06-06	118	A
USGS	06730200	1988-06-07	162	A
USGS	06730200	1988-06-08	138	A
USGS	06730200	1988-06-09	106	A
USGS	06730200	1988-06-10	102	A
USGS	06730200	1988-06-11	100	A
USGS	06730200	1988-06-12	111	A
USGS	06730200	1988-06-13	134	A
USGS	06730200	1988-06-14	179	A
USGS	06730200	1988-06-15	335	A
USGS	06730200	1988-06-16	295	A
USGS	06730200	1988-06-17	278	A
USGS	06730200	1988-06-18	279	A
USGS	06730200	1988-06-19	330	A
USGS	06730200	1988-06-20	288	A
USGS	06730200	1988-06-21	262	A
USGS	06730200	1988-06-22	329	A
USGS	06730200	1988-06-23	268	A
USGS	06730200	1988-06-24	278	A
USGS	06730200	1988-06-25	261	A
USGS	06730200	1988-06-26	253	A
USGS	06730200	1988-06-27	320	A
USGS	06730200	1988-06-28	315	A
USGS	06730200	1988-06-29	305	A
USGS	06730200	1988-06-30	263	A
USGS	06730200	1988-07-01	208	A
USGS	06730200	1988-07-02	165	A
USGS	06730200	1988-07-03	140	A
USGS	06730200	1988-07-04	153	A
USGS	06730200	1988-07-05	189	A
USGS	06730200	1988-07-06	185	A
USGS	06730200	1988-07-07	161	A
USGS	06730200	1988-07-08	157	A
USGS	06730200	1988-07-09	149	A
USGS	06730200	1988-07-10	137	A
USGS	06730200	1988-07-11	136	A
USGS	06730200	1988-07-12	108	A
USGS	06730200	1988-07-13	110	A
USGS	06730200	1988-07-14	116	A
USGS	06730200	1988-07-15	134	A
USGS	06730200	1988-07-16	144	A
USGS	06730200	1988-07-17	143	A
USGS	06730200	1988-07-18	138	A
USGS	06730200	1988-07-19	135	A
USGS	06730200	1988-07-20	141	A
USGS	06730200	1988-07-21	156	A
USGS	06730200	1988-07-22	167	A
USGS	06730200	1988-07-23	157	A
USGS	06730200	1988-07-24	144	A
USGS	06730200	1988-07-25	152	A
USGS	06730200	1988-07-26	158	A
USGS	06730200	1988-07-27	149	A
USGS	06730200	1988-07-28	159	A
USGS	06730200	1988-07-29	179	A
USGS	06730200	1988-07-30	198	A
USGS	06730200	1988-07-31	218	A
USGS	06730200	1988-08-01	259	A
USGS	06730200	1988-08-02	258	A
USGS	06730200	1988-08-03	255	A
USGS	06730200	1988-08-04	284	A
USGS	06730200	1988-08-05	220	A
USGS	06730200	1988-08-06	211	A
USGS	06730200	1988-08-07	209	A
USGS	06730200	1988-08-08	206	A
USGS	06730200	1988-08-09	198	A
USGS	06730200	1988-08-10	200	A
USGS	06730200	1988-08-11	210	A
